Year,AgeGrp,pop,mort_rate,ao_rate
1965,"[65,100]",16087.6237711813,0.0768404306501707,0
1966,"[0,15)",210937.633,0.0117091766171473,0.0536699537156559
1966,"[15,65)",280607.082,0.0120990745344054,0.00628606372807084
1966,"[65,100]",16616.0148324658,0.0782711013355627,0
1967,"[0,15)",215039.991,0.0120644582802275,0.0549162225364862
1967,"[15,65)",286769.095,0.0104771785118616,0.00625503944209888
1967,"[65,100]",17079.3750517207,0.0800633462265505,0
1968,"[0,15)",218680.22,0.0114497644094194,0.0553816298520278
1968,"[15,65)",293779.996,0.00933668744416485,0.00635004433725978
1968,"[65,100]",17505.6951336217,0.0823556270803547,0
1969,"[0,15)",222291.697,0.0105780694094031,0.0553410638634874
1969,"[15,65)",301282.415,0.00844346325357225,0.00651068865071332
1969,"[65,100]",17929.5186334147,0.0848238443124583,0
1970,"[0,15)",226128.011,0.0075847569366362,0.0553084155505175
1970,"[15,65)",309078.851,0.00995067436691097,0.00660934901689537
1970,"[65,100]",18370.2239362566,0.0733892066354189,0
1971,"[0,15)",230691.162,0.00782776411694523,0.0551569938340334
1971,"[15,65)",316467.28,0.00867308620341413,0.00672054627574768
1971,"[65,100]",19064.8577758598,0.0747888662553228,0
1972,"[0,15)",235324.167,0.00831405471415099,0.0550984548901006
1972,"[15,65)",324319.93,0.00763513978311478,0.00677252551207692
1972,"[65,100]",19765.8516774843,0.0763732248751939,0
1973,"[0,15)",239991.363,0.00915090431816913,0.0552567385518786
1973,"[15,65)",332613.235,0.0067175679284079,0.00675142106116132
1973,"[65,100]",20452.73484247,0.0780333304576435,0
1974,"[0,15)",244551.882,0.00997528205487292,0.0555962681162274
1974,"[15,65)",341394.411,0.00596973744833801,0.00670031472776512
1974,"[65,100]",21102.351825745,0.0798169397090331,0
1975,"[0,15)",248929.531,0.00643704261829824,0.0558119036507565
1975,"[15,65)",350665.098,0.00882098337599598,0.00662748877277772
1975,"[65,100]",21705.4766823507,0.0710210252979701,0
1976,"[0,15)",254140.921,0.00739974889758112,0.0559069076482964
1976,"[15,65)",359141.089,0.00766350630517802,0.00658819631746453
1976,"[65,100]",22487.960473789,0.0722976927911481,0
1977,"[0,15)",259023.954,0.00782326101006089,0.0560197880385997
1977,"[15,65)",368230.95,0.00675361481700546,0.00657099029834401
1977,"[65,100]",23228.2248159555,0.0737752079743097,0
1978,"[0,15)",263731.19,0.0076919419352713,0.0560679227966931
1978,"[15,65)",377834.885,0.00615776915358147,0.00658564123850025
1978,"[65,100]",23934.1996992844,0.0755005163020226,0
1979,"[0,15)",268491.454,0.00742854929006416,0.0560719597428974
1979,"[15,65)",387806.84,0.00575974626956038,0.0066227583814664
1979,"[65,100]",24615.4402647127,0.0773370616114414,0
1980,"[0,15)",273441.676,0.00491619280449409,0.0560281674107352
1980,"[15,65)",398059.662,0.00768642314729193,0.00661246856005219
1980,"[65,100]",25280.1054443678,0.0704323465413665,0
1981,"[0,15)",279295.802,0.00543234445034732,0.0558484190893782
1981,"[15,65)",407688.286,0.00727171248673062,0.00662191456734668
1981,"[65,100]",26131.7252971078,0.0724508904936757,0
1982,"[0,15)",285305.307,0.00634013793511382,0.0557072602929184
1982,"[15,65)",417622.246,0.0068304024206603,0.00663028855986757
1982,"[65,100]",26938.1355291963,0.0744335926511437,0
1983,"[0,15)",291350.346,0.00763971977572323,0.0556702273488977
1983,"[15,65)",427894.339,0.00621439864386708,0.00663950592718638
1983,"[65,100]",27701.9893224348,0.0761932451919537,0
1984,"[0,15)",297196.716,0.00878483798589479,0.0557680422013815
1984,"[15,65)",438613.766,0.00557471559157585,0.00665739934847371
1984,"[65,100]",28432.2918576856,0.0778203352465949,0
1985,"[0,15)",302701.863,0.0051103385511704,0.0558611659420147
1985,"[15,65)",449822.671,0.00828755916573178,0.00662766506048336
1985,"[65,100]",29139.7083734915,0.0714740496921469,0
1986,"[0,15)",309117.827,0.00607166858739599,0.0559068856290841
1986,"[15,65)",460022.744,0.00706360727242649,0.00662839835588651
1986,"[65,100]",30038.2494091899,0.0727602865998971,0
1987,"[0,15)",314882.171,0.00623564044215127,0.0560491498897853
1987,"[15,65)",471005.925,0.00622324018535436,0.00664083578141825
1987,"[65,100]",30901.871773218,0.0743566258866804,0
1988,"[0,15)",320158.702,0.00571844209938108,0.0561902015707198
1988,"[15,65)",482595.747,0.00582071229898343,0.00667206045643001
1988,"[65,100]",31731.9858545787,0.0763016721562188,0
1989,"[0,15)",325179.83,0.00510727248980972,0.0563426704540684
1989,"[15,65)",494556.57,0.00559359266018851,0.00672186601423574
1989,"[65,100]",32530.6902730369,0.0783182758082625,0
1990,"[0,15)",330035.881,0.0036410707719383,0.0565067438834022
1990,"[15,65)",506787.379,0.00696855159844067,0.00674514627168725
1990,"[65,100]",33307.2857,0.0669104567713244,0
1991,"[0,15)",335068.163,0.0036328936449865,0.056632724607739
1991,"[15,65)",518486.703,0.00660822732805936,0.00678225107732416
1991,"[65,100]",34497.035,0.0684870134491269,0
1992,"[0,15)",339847.574,0.00376627670144849,0.056984838149823
1992,"[15,65)",530519.741,0.00620150909709505,0.00682435114134612
1992,"[65,100]",35650.9431,0.0699658489539369,0
1993,"[0,15)",344302.685,0.00406542284153258,0.0576666458468077
1993,"[15,65)",542975.424,0.0056920126830639,0.00687483233126956
1993,"[65,100]",36777.0476,0.0712402618202555,0
1994,"[0,15)",348305.135,0.00435362229155768,0.0585788980687867
1994,"[15,65)",556006.717,0.00519776094719373,0.00693453133228964
1994,"[65,100]",37889.9061,0.0723699154271592,0
1995,"[0,15)",351812.243,0.00298652198979898,0.0594680015157972
1995,"[15,65)",569664.412,0.00643427766030082,0.00695828617077101
1995,"[65,100]",39003.4628,0.06334301168767,0
1996,"[0,15)",355436.705,0.00326003190919742,0.0603441842057364
1996,"[15,65)",582956.716,0.00600914939969574,0.0069908466411767
1996,"[65,100]",40496.754,0.0644438317204386,0
1997,"[0,15)",358612.537,0.00367565230994702,0.0610928418266649
1997,"[15,65)",596826.819,0.00559245310991964,0.00702957519072212
1997,"[65,100]",41962.349,0.065425853543137,0
1998,"[0,15)",361355.075,0.00416221081162341,0.0616026162078947
1998,"[15,65)",611202.313,0.00521265697500723,0.00707981777549327
1998,"[65,100]",43412.3655,0.0662998932873169,0
1999,"[0,15)",363723.543,0.0045910748208015,0.0619601657185001
1999,"[15,65)",625949.542,0.00489843796387025,0.00713912176646341
1999,"[65,100]",44861.3313,0.0670802807851581,0
2000,"[0,15)",365773.765,0.00262956256581167,0.0623174218085324
2000,"[15,65)",640951.008,0.00633352307638466,0.0071590869547396
2000,"[65,100]",46320.7506,0.0620330189554398,0
2001,"[0,15)",368339.237,0.00317848299175361,0.0625936763831652
2001,"[15,65)",655096.984,0.00583525507423189,0.00721147725509907
2001,"[65,100]",48035.9586,0.0628795570658186,0
2002,"[0,15)",370455.776,0.00346464027058386,0.062839333351358
2002,"[15,65)",669605.816,0.00545904905939466,0.00722773292040821
2002,"[65,100]",49739.6958,0.0637109163824038,0
2003,"[0,15)",372221.586,0.00350347225697974,0.0630085193393378
2003,"[15,65)",684389.867,0.00520510336544769,0.0071914317223519
2003,"[65,100]",51410.4662,0.0645237661742892,0
2004,"[0,15)",373755.592,0.00345062128194193,0.0631211585992806
2004,"[15,65)",699358.935,0.0050160909147461,0.0071377410799792
2004,"[65,100]",53015.0123,0.0652614448228658,0
2005,"[0,15)",375114.219,0.00210848578896443,0.0631949091751171
2005,"[15,65)",714450.93,0.00595249137683956,0.00707839515304431
2005,"[65,100]",54547.019,0.0603474481346084,0
2006,"[0,15)",376811.884,0.0022898747004487,0.0631788327567716
2006,"[15,65)",728846.31,0.00566242971031849,0.00706800998965063
2006,"[65,100]",56312.4116,0.0613409921872357,0
2007,"[0,15)",378289.367,0.00251410185684655,0.0632563061176393
2007,"[15,65)",743374.311,0.00542849267224677,0.00707806944918763
2007,"[65,100]",58009.6454,0.062241725063191,0
2008,"[0,15)",379470.915,0.00288371244473373,0.0634875350064708
2008,"[15,65)",758006.442,0.00516694025668979,0.00710512827013679
2008,"[65,100]",59660.68,0.0629648589322146,0
2009,"[0,15)",380174.492,0.00322472450361034,0.0638574825793415
2009,"[15,65)",772795.808,0.00488419186663086,0.00715959758415253
2009,"[65,100]",61289.8867,0.0635150056493742,0
2010,"[0,15)",380274.337,0.0018771527041016,0.0642595716365683
2010,"[15,65)",787765.404,0.00574184773415105,0.00718504642531877
2010,"[65,100]",62929.9662,0.0583421050685389,0
2011,"[0,15)",380287.007,0.00208720515134508,0.0646711787342237
2011,"[15,65)",802018.31,0.00519471930759288,0.00722061445205659
2011,"[65,100]",64918.6305,0.0589102753792688,0
2012,"[0,15)",379512.707,0.00172529664467864,0.0652142459092944
2012,"[15,65)",816654.594,0.00481213113704715,0.00738191402373964
2012,"[65,100]",66885.3211,0.0595043028058364,0
2013,"[0,15)",378168.02,0.000767904700138318,0.0658265101316605
2013,"[15,65)",831445.906,0.00470839289934515,0.00771137719691893
2013,"[65,100]",68933.8307,0.0601583584995806,0
2014,"[0,15)",376631.361,0,0.0664224506785031
2014,"[15,65)",846013.02,0.00475272354555488,0.00813383226655306
2014,"[65,100]",71198.4776,0.0606128002377399,0
2015,"[0,15)",375144.882,0.000727649537812422,0.0670048138894775
2015,"[15,65)",860127.604,0.00471574099137971,0.00848626525419593
2015,"[65,100]",73764.2665,0.056609629541968,0
2016,"[0,15)",373356.04,0.000197929033102027,0.0675547608657945
2016,"[15,65)",873908.707,0.00513120416821753,0.00884558299749267
2016,"[65,100]",76887.7697,0.0576877638317034,0
2017,"[0,15)",372060.792,0.000839209631097106,0.0679618883357105
2017,"[15,65)",886916.249,0.00522559599649415,0.00911984644448655
2017,"[65,100]",80182.5182,0.0582300931027631,0
2018,"[0,15)",370948.441,0.00259027642065218,0.0683050720787367
2018,"[15,65)",899478.997,0.00487809611412191,0.00926991294717246
2018,"[65,100]",83602.0227,0.0581611310703371,0
2019,"[0,15)",369543.688,0.00435190223029871,0.0686549326205783
2019,"[15,65)",912090.82,0.00438223904062538,0.00935540388401234
2019,"[65,100]",87077.7265,0.0577410447205463,0
2020,"[0,15)",367656.95,0.00159603674022752,0.0690256229346406
2020,"[15,65)",924931.839,0.00554754067667032,0.00939834227071082
2020,"[65,100]",90582.7456,0.0560183163624486,0
2021,"[0,15)",366707.894,0.002823751593414,0.0693007361330487
2021,"[15,65)",936485.666,0.00474180776195671,0.0094774381736239
2021,"[65,100]",94201.2787,0.0559294732800692,0
2022,"[0,15)",364994.311,0.00298704381723912,0.069412303798894
2022,"[15,65)",948582.673,0.00424624770686699,0.00958204093192413
2022,"[65,100]",97808.1358,0.0559739908671278,0
