Index,Year,"pop_[0,15)","pop_[15,65)","pop_[65,100]","mort_rate_[0,15)","mort_rate_[15,65)","mort_rate_[65,100]","ao_rate_[0,15)","ao_rate_[15,65)","ao_rate_[65,100]",B,"sim_[0,15)","sim_[15,65)","sim_[65,99]","sim_[0,99]"
38,1918,218680.22,293779.996,17505.6951336217,0.00574136383404711,0.00467929160705438,0.0420624378803985,0.0557014320394437,0.0063798977392047,0,0,217424.697293671,292405.313730397,16769.3629195105,526599.373943578
39,1919,222291.697,301282.415,17929.5186334147,0.00530309611892488,0.00423068095746804,0.043351602892922,0,0,0,18226.181,222291.697,301282.415,17929.5186334147,541503.630633415
40,1919,222291.697,301282.415,17929.5186334147,0.00530309611892488,0.00423068095746804,0.043351602892922,0.0556361074891854,0.00653835032492624,0,0,221112.86276437,300007.78522404,17152.2452615577,538272.893249967
41,1920,226128.011,309078.851,18370.2239362566,0.00379959693675902,0.00498777613886114,0.0373937495712066,0,0,0,18489.59,226128.011,309078.851,18370.2239362566,553577.085936257
42,1920,226128.011,309078.851,18370.2239362566,0.00379959693675902,0.00498777613886114,0.0373937495712066,0.055519366766414,0.00664248022124575,0,0,225268.815702089,307537.234881956,17683.2923828173,550489.342966862
43,1921,230691.162,316467.28,19064.8577758598,0.00392157141967242,0.00434598690278665,0.0381210399719322,0,0,0,18785.059,230691.162,316467.28,19064.8577758598,566223.29977586
44,1921,230691.162,316467.28,19064.8577758598,0.00392157141967242,0.00434598690278665,0.0381210399719322,0.0553741475082906,0.00674988117091183,0,0,229786.49013233,315091.91734596,18338.085570527,563216.493048816
45,1922,235324.167,324319.93,19765.8516774843,0.00416570390157334,0.00382488476328358,0.0389449676918568,0,0,0,19163.032,235324.167,324319.93,19765.8516774842,579409.948677485
46,1922,235324.167,324319.93,19765.8516774843,0.00416570390157334,0.00382488476328358,0.0389449676918568,0.0553289388666072,0.00679852910245363,0,0,234343.876199394,323079.443641314,18996.0712225026,576419.39106321
47,1923,239991.363,332613.235,20452.73484247,0.00458596770899855,0.00336444370492572,0.0398090452715374,0,0,0,19589.692,239991.363,332613.235,20452.73484247,593057.33284247
48,1923,239991.363,332613.235,20452.73484247,0.00458596770899855,0.00336444370492572,0.0398090452715374,0.0555113116345187,0.00677421251782274,0,0,238890.770358843,331494.176495329,19638.5309951994,590023.477849372
49,1924,244551.882,341394.411,21102.351825745,0.00500014173612717,0.00298933679139524,0.0407382733106846,0,0,0,20017.797,244551.882,341394.411,21102.351825745,607048.644825745
50,1924,244551.882,341394.411,21102.351825745,0.00500014173612717,0.00298933679139524,0.0407382733106846,0.0558756543073631,0.00672040427953098,0,0,243329.087928163,340373.868126821,20242.6784495696,603945.634504554
51,1925,248929.531,350665.098,21705.4766823507,0.00322371748636507,0.00442026104183701,0.0361644462347169,0,0,0,20413.295,248929.531,350665.098,21705.4766823507,621300.105682351
52,1925,248929.531,350665.098,21705.4766823507,0.00322371748636507,0.00442026104183701,0.0361644462347169,0.0559924073534455,0.00665691407070331,0,0,248127.052518043,349115.066728579,20920.5101378729,618162.629384494
53,1926,254140.921,359141.089,22487.960473789,0.00370674442591001,0.00383912258369534,0.036826958844439,0,0,0,20706.991,254140.921,359141.089,22487.960473789,635769.970473789
54,1926,254140.921,359141.089,22487.960473789,0.00370674442591001,0.00383912258369534,0.036826958844439,0.0561149112829048,0.00661358668747564,0,0,253198.885557688,357762.302334487,21659.7972789254,632620.9851711
55,1927,259023.954,368230.95,23228.2248159555,0.00391931100440512,0.00338252815686868,0.0375942684991478,0,0,0,20971.845,259023.954,368230.95,23228.2248159555,650483.128815956
56,1927,259023.954,368230.95,23228.2248159555,0.00391931100440512,0.00338252815686868,0.0375942684991478,0.0562402109161334,0.00659329229517892,0,0,258008.758566683,366985.398443395,22354.9766954659,647349.133705544
57,1928,263731.19,377834.885,23934.1996992844,0.0038533952952865,0.00308363899150566,0.0384910381603417,0,0,0,21244.115,263731.19,377834.885,23934.1996992844,665500.274699285
58,1928,263731.19,377834.885,23934.1996992844,0.0038533952952865,0.00308363899150566,0.0384910381603417,0.056284810420363,0.00660601179404672,0,0,262714.929473234,376669.778616263,23012.947505322,662397.655594819
59,1929,268491.454,387806.84,24615.4402647127,0.00372119830343887,0.00288403195493869,0.0394465457932294,0,0,0,21575.729,268491.454,387806.84,24615.4402647127,680913.734264713
60,1929,268491.454,387806.84,24615.4402647127,0.00372119830343887,0.00288403195493869,0.0394465457932294,0.0562813939706562,0.006641913873319,0,0,267492.344056887,386688.392681096,23644.4461730902,677825.182911074
61,1930,273441.676,398059.662,25280.1054443678,0.00246112497030682,0.00385062523098068,0.0358591111986623,0,0,0,21999.566,273441.676,398059.662,25280.1054443678,696781.443444368
62,1930,273441.676,398059.662,25280.1054443678,0.00246112497030682,0.00385062523098068,0.0358591111986623,0.05616639994012,0.00663802912247517,0,0,272768.701863274,396526.883422067,24373.5833321244,693669.168617466
63,1931,279295.802,407688.286,26131.7252971078,0.00271987107450467,0.0036424901104678,0.0369064897392755,0,0,0,22518.854,279295.802,407688.286,26131.7252971078,713115.813297108
64,1931,279295.802,407688.286,26131.7252971078,0.00271987107450467,0.0036424901104678,0.0369064897392755,0.0560007338655702,0.00664612300466413,0,0,278536.15342691,406203.285450092,25167.2950455606,709906.733922562
65,1932,285305.307,417622.246,26938.1355291963,0.00317510962813228,0.0034210530121862,0.0379363808204489,0,0,0,23124.965,285305.307,417622.246,26938.1355291963,729865.688529196
66,1932,285305.307,417622.246,26938.1355291963,0.00317510962813228,0.0034210530121862,0.0379363808204489,0.0558847003430429,0.00665304899316586,0,0,284399.431372787,416193.538157366,25916.2001611678,726509.169691321
67,1933,291350.346,427894.339,27701.9893224348,0.00382718355484279,0.00311204172377877,0.0388513357403828,0,0,0,23747.491,291350.346,427894.339,27701.9893224348,746946.674322435
68,1933,291350.346,427894.339,27701.9893224348,0.00382718355484279,0.00311204172377877,0.0388513357403828,0.0558841060806667,0.00666023284970475,0,0,290235.294747091,426562.713963664,26625.7300345924,743423.738745347
69,1934,297196.716,438613.766,28432.2918576856,0.00440210827156473,0.00279125334340147,0.0396981387327185,0,0,0,24291.745,297196.716,438613.766,28432.2918576856,764242.773857686
70,1934,297196.716,438613.766,28432.2918576856,0.00440210827156473,0.00279125334340147,0.0396981387327185,0.0560146246438548,0.00667603385027896,0,0,295888.423878214,437389.483859191,27303.5827910301,760581.490528435
71,1935,302701.863,449822.671,29139.7083734915,0.00255844208854539,0.00415240079906387,0.0363994861417657,0,0,0,24690.051,302701.863,449822.671,29139.7083734915,781664.242373492
72,1935,302701.863,449822.671,29139.7083734915,0.00255844208854539,0.00415240079906387,0.0363994861417657,0.0560044500842561,0.006655300535746,0,0,301927.41781342,447954.826981503,28079.0379623755,777961.282757298
