Year,"sim_[0,15)","sim_[15,65)","sim_[65,99]","sim_[0,99]"
2013,378168.02,831445.906,68933.8307,1278547.7567
2014,376631.361,846013.02,71198.4776,1293842.8586
2015,375087.864,860127.604000001,73764.2665,1308979.7345
2016,373302.8839696,873904.886519522,76887.7697,1324095.54018912
2017,372011.237433644,886908.890974642,80182.4844056229,1339102.61281391
2018,370902.295842218,899468.376706866,83601.9237694112,1353972.5963185
2019,369500.814319261,912077.198014542,87077.5348741333,1368655.54720794
2020,367617.20639099,924915.460658851,90582.4375996354,1383115.10464948
2021,366670.95715062,936466.789120251,94200.8340240413,1397338.58029491
2022,364960.03820196,948561.504784395,97807.5370900727,1411329.08007643
2023,362871.148530179,960777.23955072,101422.014067548,1425070.40214845
2024,360999.402885274,972489.150363383,105055.399019937,1438543.95226859
2025,359614.135518953,983388.242789717,108734.357118929,1451736.7354276
2026,358568.096020567,993417.130669069,112646.2313024,1464631.45799204
2027,357979.644613647,1002735.54358358,116499.244871073,1477214.4330683
2028,357634.61172589,1011513.0412422,120317.178274471,1489464.83124256
2029,357106.775257276,1020122.98018726,124128.624873811,1501358.38031835
2030,356163.318323258,1028747.22620342,127969.470582558,1512880.01510923
2031,355318.206410604,1036685.02562633,132012.606821504,1524015.83885844
2032,354090.6472481,1044679.11974626,135988.647680383,1534758.41467474
2033,352515.142116259,1052627.3645305,139947.462878757,1545089.96952551
2034,350720.385705809,1060334.52169517,143935.177825883,1554990.08522687
2035,348774.54293692,1067674.67036761,148001.295826079,1564450.50913061
2036,346911.382107929,1074210.64981862,152336.630734484,1573458.66266103
2037,344872.772700748,1080497.49993143,156649.991046945,1582020.26367913
2038,342657.973154747,1086520.96399787,160972.932191848,1590151.86934446
2039,340264.802601216,1092287.18001775,165325.921251738,1597877.9038707
2040,337710.118239483,1097768.2524821,169741.107290496,1605219.47801208
2041,335285.992790246,1102391.4884691,174503.700674913,1612181.18193426
2042,332766.79034951,1106795.55164901,179202.223813178,1618764.5658117
2043,330160.126689511,1110884.26648014,183935.725733575,1624980.11890323
2044,327488.080924062,1114527.79255863,188821.856303354,1630837.72978604
2045,324780.024826447,1117626.22760087,193943.995331345,1636350.24775866
2046,322401.055601776,1119559.19670502,199559.528596877,1641519.78090367
2047,319995.958082653,1121109.4431734,205245.228902387,1646350.63015844
2048,317589.257821443,1122266.47142483,210988.813957095,1650844.54320337
2049,315205.049308209,1123038.12037764,216752.044018696,1654995.21370454
2050,312854.251185498,1123413.23575507,222553.842499331,1658821.3294399
2051,310858.325707604,1122827.05398044,228621.740157434,1662307.11984547
2052,308872.787779091,1122016.93175128,234570.461801558,1665460.18133193
2053,306899.294858733,1120953.03429137,240423.654029666,1668275.98317977
2054,304927.187486226,1119633.99818533,246180.908925521,1670742.09459708
2055,302941.948146573,1118052.91221769,251876.201694987,1672871.06205925
2056,301186.116687341,1115773.46492894,257686.241793998,1674645.82341028
2057,299412.60196548,1113406.6068553,263255.986156878,1676075.19497765
2058,297605.147173958,1110896.32270357,268659.940138903,1677161.41001643
2059,295743.520450023,1108185.0023034,273972.286847582,1677900.809601
2060,293814.226782694,1105223.69214678,279279.595940359,1678317.51486983
2061,292038.442435252,1101637.03883355,284720.072354836,1678395.55362364
2062,290211.781791265,1097979.4900922,289954.293665746,1678145.56554921
2063,288320.313634222,1094203.11647218,295045.406894084,1677568.83700049
2064,286356.09263648,1090260.42842227,300040.770333415,1676657.29139217
2065,284318.041374609,1086108.05328448,305014.166910668,1675440.26156975
2066,282448.058149791,1081389.92379089,310058.777923083,1673896.75986376
2067,280517.177777511,1076668.46480522,314860.381399744,1672046.02398247
2068,278531.065705645,1071895.43401107,319476.814607794,1669903.31432451
2069,276504.275324141,1067020.47504158,323950.186169952,1667474.93653567
2070,274447.21302552,1062005.50125488,328361.634292849,1664814.34857325
2071,272559.799491286,1056490.7790297,332845.136256035,1661895.71477702
2072,270663.006845936,1051002.73334589,337074.75599486,1658740.49618669
2073,268754.831449991,1045586.36494483,341019.595449796,1655360.79184461
2074,266833.436633029,1040344.20830594,344574.849080131,1651752.4940191
2075,264899.455690726,1035313.0395137,347763.405092858,1647975.90029729
2076,263141.485402329,1030107.25124594,350744.533678984,1643993.27032725
2077,261390.472533921,1025280.31022968,353160.859158253,1639831.64192185
2078,259645.79533184,1020651.40154149,355204.302232275,1635501.4991056
2079,257906.600025414,1015978.51535317,357102.456392709,1630987.57177129
2080,256169.35183286,1011092.75907409,359114.110861236,1626376.22176818
2081,254598.338639698,1005678.22111542,361323.336264773,1621599.8960199
2082,253046.500945871,1000264.80848489,363382.466200178,1616693.77563094
2083,251503.807938509,994818.246923121,365346.465957125,1611668.52081875
2084,249956.071793094,989335.697523289,367213.545013427,1606505.31432981
2085,248390.596666463,983795.295717744,369117.062061067,1601302.95444527
2086,246962.611473629,977885.327481577,371133.777082937,1595981.71603814
2087,245526.570559503,972103.590425012,372948.167339168,1590578.32832368
2088,244076.250048193,966376.977061437,374642.754294198,1585095.98140383
2089,242607.581055016,960634.797779174,376262.170135484,1579504.54896967
2090,241113.496691761,954820.953616996,377966.605398894,1573901.05570765
2091,239714.030939821,948747.114957818,379735.991525397,1568197.13742304
2092,238317.273992501,942800.229121932,381315.820247992,1562433.32336242
2093,236908.911946699,936940.682946228,382770.419780199,1556620.01467313
2094,235471.884891699,931139.709039739,384117.871831178,1550729.46576262
2095,233993.178904546,925359.224108002,385534.984928674,1544887.38794122
2096,232617.99794436,919446.165753928,386922.296748733,1538986.46044702
2097,231233.256160712,913746.728567745,388093.167149108,1533073.15187757
2098,229833.198613635,908196.622685501,389123.73553483,1527153.55683397
2099,228421.638353237,902728.831185077,390035.28614574,1521185.75568405
